起始城市,目标城市,时间,费用
北京,莱芜,20877,201
北京,临沂,28365,209
北京,德州,14776,116
北京,聊城,20236,170
北京,滨州,19919,130
北京,菏泽,26013,240
北京,太原,23549,195
北京,大同,16533,125
北京,阳泉,19858,152
北京,长治,27755,219
北京,晋城,31325,262
北京,朔州,20021,169
北京,晋中,24584,191
北京,运城,39375,327
北京,忻州,21697,169
北京,临汾,34370,275
北京,吕梁,31174,266
北京,西安,51314,410
北京,铜川,45244,357
北京,宝鸡,54781,511
北京,咸阳,50518,421
北京,渭南,46748,414
北京,延安,44466,377
北京,汉中,61264,554
北京,榆林,36392,346
北京,安康,59323,557
北京,商洛,51694,483
北京,成都,81871,773
北京,自贡,83391,886
北京,攀枝花,105659,1189
北京,泸州,87622,900
北京,德阳,76917,747
北京,绵阳,76145,729
北京,广元,69495,653
北京,遂宁,77271,788
北京,内江,81559,860
北京,乐山,91598,835
北京,南充,76379,773
北京,眉山,87544,811
北京,宜宾,87455,912
北京,广安,77184,791
北京,达州,69769,737
北京,雅安,90761,839
北京,巴中,70107,672
北京,资阳,81826,853
北京,阿坝州,90727,867
北京,甘孜州,91249,948
北京,凉山州,102514,1043
北京,拉萨,177447,807
北京,山南地区,184633,807
北京,那曲地区,154989,807
北京,阿里地区,249347,807
北京,林芝地区,193814,948
北京,乌鲁木齐,108576,891
北京,克拉玛依,124834,1043
北京,吐鲁番地区,99497,851
北京,哈密地区,84502,718
北京,阿克苏地区,138622,1078
北京,喀什地区,157411,1204
北京,和田地区,167511,1280
北京,塔城地区,133872,1127
北京,阿勒泰地区,124930,1049
北京,石河子,115190,948
北京,阿拉尔,141615,1058
北京,图木舒克,147181,1125
北京,五家渠,115181,896
北京,昆明,107947,1431
北京,曲靖,103296,1357
北京,玉溪,111900,1470
北京,保山,122714,1377
北京,昭通,98119,1094
北京,丽江,112984,1228
北京,普洱,129295,1648
北京,临沧,130042,1559
北京,文山,114976,1485
北京,西双版纳,139278,1611
北京,杭州,56679,598
北京,宁波,61489,419
北京,温州,69268,503
北京,嘉兴,55233,576
北京,湖州,53465,558
北京,绍兴,59983,662
北京,金华,61543,694
北京,衢州,63808,701
北京,舟山,63766,453
北京,台州,66352,451
北京,丽水,67832,727
天津,上海,48165,433
天津,重庆,79162,826
天津,合肥,42888,428
天津,芜湖,46464,485
天津,蚌埠,37567,368
天津,淮南,39471,387
天津,马鞍山,45044,448
天津,淮北,32575,308
天津,铜陵,49690,335
天津,安庆,49276,499
天津,黄山,55413,383
天津,滁州,39821,398
天津,阜阳,34833,316
天津,宿州,32863,329
天津,六安,42342,407
天津,亳州,32725,293
天津,池州,49629,528
天津,宣城,47361,336
天津,巢湖,43229,441
天津,福州,77701,686
天津,厦门,83722,731
天津,莆田,78992,616
天津,三明,74029,608
天津,泉州,81631,717
天津,漳州,82512,715
天津,南平,71871,558
天津,龙岩,78488,649
天津,宁德,77505,672
天津,南昌,58243,569
天津,景德镇,56754,383
天津,萍乡,64464,647
天津,九江,54111,515
天津,新余,62317,680
天津,鹰潭,62619,448
天津,赣州,73922,740
天津,吉安,66991,661
天津,宜春,63650,685
天津,抚州,63622,646
天津,上饶,64725,489
天津,兰州,63930,610
天津,嘉峪关,81871,799
天津,金昌,68520,672
天津,白银,60416,589
天津,天水,64257,630
天津,武威,65574,636
天津,张掖,73558,718
天津,平凉,59816,574
天津,酒泉,81395,784
天津,庆阳,53688,517
天津,定西,67671,639
天津,陇南,71880,775
天津,临夏州,71425,655
天津,甘南州,74582,705
天津,广州,88499,841
天津,韶关,80032,717
天津,深圳,96339,869
天津,珠海,96026,901
天津,汕头,87895,742
天津,佛山,90200,848
天津,江门,91942,882
天津,湛江,97305,1148
天津,茂名,94727,1125
天津,肇庆,88169,1018
天津,惠州,91391,844
天津,梅州,79942,673
天津,汕尾,86907,727
天津,河源,84590,844
天津,阳江,98141,896
天津,清远,85540,797
天津,东莞,96072,890
天津,中山,93530,874
天津,潮州,85787,723
天津,揭阳,85070,718
天津,云浮,87861,1029
天津,南宁,94079,1039
天津,柳州,84674,945
天津,桂林,79004,882
天津,梧州,86618,1018
天津,北海,98568,1129
天津,防城港,98455,1101
天津,钦州,95767,1104
天津,贵港,91272,1033
天津,玉林,92400,1112
天津,百色,98264,1353
天津,贺州,81015,949
天津,河池,86717,902
天津,来宾,87497,983
天津,崇左,98029,1109
天津,贵阳,85652,1078
天津,六盘水,94461,1211
天津,遵义,84912,1034
天津,安顺,90669,1138
天津,黔西南州,102008,1309
天津,黔东南州,82733,950
天津,海口,107397,1207
天津,三亚,118229,1199
天津,五指山,114635,1199
天津,琼海,111379,1199
天津,儋州,111683,1202
天津,文昌,111887,1207
天津,万宁,114374,1199
天津,东方,116637,1202
天津,定安,110531,1199
天津,屯昌,110236,1199
天津,澄迈,110869,1207
天津,临高,108352,1202
天津,白沙,118434,1207
天津,昌江,112536,1202
天津,乐东,116382,1199
天津,陵水,116338,1199
天津,保亭,116832,1199
天津,琼中,111886,1199
天津,石家庄,14600,113
天津,唐山,8370,44
天津,秦皇岛,13607,105
天津,邯郸,19936,178
天津,邢台,17550,160
天津,保定,10445,62
天津,张家口,19877,100
天津,承德,13660,140
天津,沧州,9815,46
天津,廊坊,6340,19
天津,衡水,13858,93
天津,郑州,28462,289
天津,开封,28295,269
天津,洛阳,34623,334
天津,平顶山,35066,346
天津,安阳,22449,205
天津,鹤壁,22974,223
天津,新乡,25424,253
天津,焦作,29878,285
天津,濮阳,23329,191
天津,许昌,31899,319
天津,漯河,33206,332
天津,三门峡,38786,382
天津,南阳,38750,390
天津,商丘,28343,236
天津,信阳,41019,393
天津,周口,34776,322
天津,驻马店,38532,374
天津,哈尔滨,56742,506
天津,齐齐哈尔,56605,586
天津,鸡西,64292,673
天津,鹤岗,71543,674
天津,双鸭山,70564,690
天津,大庆,50730,532
天津,伊春,65886,641
天津,佳木斯,67628,664
天津,七台河,66843,699
天津,牡丹江,58388,600
天津,黑河,72108,801
天津,绥化,58986,545
天津,大兴安岭地区,84510,742
天津,武汉,48710,500
天津,黄石,49962,516
天津,十堰,48827,482
天津,宜昌,54137,549
天津,襄阳,43430,441
天津,鄂州,49509,506
天津,荆门,48991,499
天津,孝感,49374,471
天津,荆州,51839,542
天津,黄冈,48484,497
天津,咸宁,52564,504
天津,随州,43658,444
天津,恩施,63364,699
天津,仙桃,51112,496
天津,潜江,52797,524
天津,天门,49030,499
天津,长沙,62784,662
天津,株洲,63690,618
天津,湘潭,64541,709
天津,衡阳,67091,758
天津,邵阳,68583,767
天津,岳阳,56657,602
天津,常德,61917,663
天津,张家界,62937,660
天津,益阳,62127,683
天津,郴州,72703,644
天津,永州,71967,809
天津,怀化,73247,766
天津,娄底,65954,745
天津,湘西州,69642,786
天津,南京,42299,313
天津,无锡,44523,463
天津,徐州,29856,279
天津,常州,45642,327
天津,苏州,49279,341
天津,南通,38094,321
天津,连云港,28687,263
天津,淮安,33898,271
天津,盐城,38743,296
天津,扬州,41415,275
天津,镇江,42384,308
天津,泰州,41202,414
天津,宿迁,32187,206
天津,长春,39618,406
天津,吉林市,44510,458
天津,四平,34640,363
天津,辽源,36198,378
天津,通化,38415,392
天津,白山,42348,430
天津,松原,43957,461
天津,白城,49682,531
天津,延边,56089,581
天津,沈阳,28002,276
天津,大连,33569,346
天津,鞍山,27864,274
天津,抚顺,29907,301
天津,本溪,30011,296
天津,丹东,33984,348
天津,锦州,20996,183
天津,营口,26515,247
天津,阜新,25100,240
天津,辽阳,27063,271
天津,盘锦,23215,224
天津,铁岭,30480,310
天津,朝阳,23525,223
天津,葫芦岛,18337,165
天津,呼和浩特,31456,222
天津,包头,38412,282
天津,乌海,48731,440
天津,赤峰,21032,225
天津,通辽,34915,349
天津,鄂尔多斯,34913,300
天津,呼伦贝尔,73861,766
天津,巴彦淖尔,46993,367
天津,乌兰察布,26172,165
天津,兴安盟,49492,383
天津,锡林郭勒盟,34594,260
天津,阿拉善盟,53457,429
天津,银川,52621,463
天津,石嘴山,50043,429
天津,吴忠,53211,518
天津,固原,59224,575
天津,中卫,55277,541
天津,西宁,71875,693
天津,海北州,77508,693
天津,黄南州,76635,742
天津,海南州,79380,693
天津,果洛州,96130,838
天津,玉树州,109316,876
天津,海西州,93652,693
天津,济南,17674,94
天津,青岛,25316,229
天津,淄博,19373,108
天津,枣庄,26290,248
天津,东营,14841,119
天津,烟台,26338,251
天津,潍坊,20516,174
天津,济宁,24926,162
天津,泰安,19459,168
天津,威海,29328,280
天津,日照,25195,251
天津,莱芜,19101,174
天津,临沂,27282,229
天津,德州,13415,90
天津,聊城,20049,156
天津,滨州,14643,75
天津,菏泽,26180,226
天津,太原,23124,209
天津,大同,21772,191
天津,阳泉,19365,166
天津,长治,27225,232
天津,晋城,30632,275
天津,朔州,22865,209
天津,晋中,24353,204
天津,运城,39710,341
天津,忻州,21158,185
天津,临汾,34209,288
天津,吕梁,30667,279
天津,西安,50771,424
天津,铜川,48388,401
天津,宝鸡,55174,525
天津,咸阳,51110,435
天津,渭南,46487,427
天津,延安,44520,390
天津,汉中,63225,571
天津,榆林,36245,376
天津,安康,60197,574
天津,商洛,50449,492
天津,成都,83198,786
天津,自贡,83471,896
天津,攀枝花,110718,1179
天津,泸州,86765,913
天津,德阳,78128,760
天津,绵阳,75423,742
天津,广元,70286,666
天津,遂宁,77461,801
天津,内江,81751,874
天津,乐山,90570,842
天津,南充,75578,783
天津,眉山,87701,824
天津,宜宾,87583,925
天津,广安,76370,800
天津,达州,70610,751
天津,雅安,85519,876
天津,巴中,69982,686
天津,资阳,82169,866
天津,阿坝州,90992,881
天津,甘孜州,91784,961
天津,凉山州,104014,1057
天津,拉萨,182560,843
天津,山南地区,185851,843
天津,那曲地区,156637,843
天津,阿里地区,248663,843
天津,林芝地区,194881,843
天津,乌鲁木齐,116545,922
天津,克拉玛依,134678,1073
天津,吐鲁番地区,108553,882
天津,哈密地区,92420,749
天津,阿克苏地区,147821,1109
天津,喀什地区,165145,1235
天津,和田地区,175286,1311
天津,塔城地区,143870,1157
天津,阿勒泰地区,133004,1079
天津,石河子,124306,978
天津,阿拉尔,150655,1088
天津,图木舒克,155828,1155
天津,五家渠,123238,926
天津,昆明,109103,1413
天津,曲靖,103120,1339
天津,玉溪,112248,1452
天津,保山,123905,1390
天津,昭通,98164,1107
天津,丽江,113265,1242
天津,普洱,129533,1630
天津,临沧,129338,1541
天津,文山,115556,1467
天津,西双版纳,135368,1700
天津,杭州,54682,400
天津,宁波,55340,489
天津,温州,67069,562
天津,嘉兴,52834,369
天津,湖州,50696,375
天津,绍兴,56226,567
天津,金华,60300,467
天津,衢州,58414,642
天津,舟山,59270,522
天津,台州,64340,509
天津,丽水,63850,505
上海,重庆,79450,886
上海,合肥,26982,176
上海,芜湖,16158,153
上海,蚌埠,27497,168
上海,淮南,27780,201
上海,马鞍山,21399,101
上海,淮北,32081,216
上海,铜陵,17516,173
上海,安庆,20965,238
上海,黄山,20617,168
上海,滁州,22711,112
上海,阜阳,32440,253
上海,宿州,29486,208
上海,六安,29882,217
上海,亳州,34701,266
上海,池州,18987,195
上海,宣城,14339,118
上海,巢湖,23602,155
上海,福州,36376,396
上海,厦门,45873,519
上海,莆田,39409,443
上海,三明,36112,370
上海,泉州,42098,488
上海,漳州,47080,548
上海,南平,32636,323
上海,龙岩,44960,480
上海,宁德,31952,344
上海,南昌,31324,318
上海,景德镇,26636,239
上海,萍乡,39841,416
